month,FTA
1-1-2010,568719
2-1-2010,552152
3-1-2010,512152
4-1-2010,371956
5-1-2010,332087
6-1-2010,384642
7-1-2010,466715
8-1-2010,422173
9-1-2010,332087
10-1-2010,507093
11-1-2010,608178
12-1-2010,680004
1-1-2011,623886
2-1-2011,635527
3-1-2011,550051
4-1-2011,437792
5-1-2011,355333
6-1-2011,412336
7-1-2011,513853
8-1-2011,444548
9-1-2011,355333
10-1-2011,562873
11-1-2011,636762
12-1-2011,715364
1-1-2012,681002
2-1-2012,681193
3-1-2012,606456
4-1-2012,447581
5-1-2012,374476
6-1-2012,433390
7-1-2012,485808
8-1-2012,445632
9-1-2012,374476
10-1-2012,556488
11-1-2012,701185
12-1-2012,752972
1-1-2013,720321
2-1-2013,688569
3-1-2013,639530
4-1-2013,540580
5-1-2013,417453
6-1-2013,451223
7-1-2013,506427
8-1-2013,486338
9-1-2013,417453
10-1-2013,598095
11-1-2013,733923
12-1-2013,821581
1-1-2014,759000
2-1-2014,758000
3-1-2014,693000
4-1-2014,535000
5-1-2014,465000
6-1-2014,502000
7-1-2014,569000
8-1-2014,576000
9-1-2014,465000
10-1-2014,668000
11-1-2014,765000
12-1-2014,885000
1-1-2015,791000
2-1-2015,761000
3-1-2015,729000
4-1-2015,542000
5-1-2015,510000
6-1-2015,512000
7-1-2015,628000
8-1-2015,599000
9-1-2015,510000
10-1-2015,683000
11-1-2015,816000
12-1-2015,913000
1-1-2016,844000
2-1-2016,847000
3-1-2016,817000
4-1-2016,599000
5-1-2016,527000
6-1-2016,547000
7-1-2016,734000
8-1-2016,670000
9-1-2016,527000
10-1-2016,754000
11-1-2016,891000
12-1-2016,1037000
1-1-2017,964109
2-1-2017,931025
3-1-2017,885936
4-1-2017,717033
5-1-2017,622408
6-1-2017,663470
7-1-2017,779309
8-1-2017,719129
9-1-2017,622408
10-1-2017,866976
11-1-2017,997738
12-1-2017,1167840
1-1-2018,1045027
2-1-2018,1049259
3-1-2018,1021539
4-1-2018,745033
5-1-2018,606513
6-1-2018,683935
7-1-2018,806493
8-1-2018,785993
9-1-2018,606513
10-1-2018,890223
11-1-2018,1012569
12-1-2018,1191498
1-1-2019,1111040
2-1-2019,1090516
3-1-2019,978236
4-1-2019,774651
5-1-2019,615136
6-1-2019,726446
7-1-2019,818125
8-1-2019,800837
9-1-2019,615136
10-1-2019,945017
11-1-2019,1092440
12-1-2019,1226398
1-1-2020,1119250
2-1-2020,1018440
3-1-2020,328304
4-1-2020,2820
5-1-2020,3754
6-1-2020,8590
7-1-2020,12655
8-1-2020,19761
9-1-2020,3764
10-1-2020,41494
11-1-2020,70977
12-1-2020,90544
